"DATA PMB 2025"
" ~ active_status",1
" ~ whatsapp_status",0
" ~ sudah_bayar",0
" ~ lulus_tes_pmb",0
" ~ sudah_registrasi",0
" ~ tanggal_awal",2024-10-01
" ~ tanggal_akhir",2025-03-31
" "
username,tanggal_daftar,nama,whatsapp,asal_sekolah,tahun_lulus_akun,info_batal_pmb,tanggal_lulus_tes,ada_data_pmb,ada_biodata,ada_data_sekolah,ada_data_orangtua,file_bayar_formulir,file_bayar_registrasi," ",nama_prodi,nama_jalur,gelombang,nomor_peserta,jumlah_syarat_berkas,jumlah_upload_berkas,jumlah_verifikasi_berkas,tanggal_finish_registrasi," ",nomor_ktp,tempat_lahir,tanggal_lahir,gender,kecamatan,kabupaten,provinsi,kode_pos,desa,blok_dusun,rt,rw,agama,warga_negara,suku,anak_ke,total_saudara,cacat_fisik,sudah_bekerja,punya_usaha,cita_cita,hobby_olahraga,hobby_lainnya,kontak_whatsapp_lainnya," ",id_sekolah,jenis_sekolah,sekolah_negeri,nama_sekolah,alamat_sekolah,kecamatan_sekolah,jurusan,tahun_lulus,no_ijazah,nis," ",nama_ayah,ayah_meninggal,pendidikan_ayah,pekerjaan_ayah,pendapatan_ayah,whatsapp_ayah,nama_ibu,ibu_meninggal,pendidikan_ibu,pekerjaan_ibu,pendapatan_ibu,whatsapp_ibu,ortu_cerai,tinggal_dengan,punya_wali,nama_wali,hubungan_dg_wali,pendidikan_wali,pekerjaan_wali,pendapatan_wali,whatsapp_wali
yusuf,"2025-03-31 18:27:30","YUSUF AMMAR SHOLIHIN",6287729007318,"SMAN 1 TANJUNGSARI",2025,,,1,1,1,1,yusuf-formulir-250402191343.jpg,," ","BISNIS DIGITAL",Reguler,2025,2025-2-4-1-0022,4,4,2,," ",3211111106870005,asdasd,1987-06-11,L,TANJUNGSARI,"KAB. SUMEDANG","JAWA BARAT",45362,KUTAMANDIRI,LEBAKMAJA,2,12,0,0,SUNDA,3,4,0,0,0,DOSEN,RENANG,MASAK,-," ",1,1,1,"SMAN 1 Tanjungsari","JL TANJUNGSARI NO. 321",TANJUNGSARI,IPA,2025,MD-20006786,123456," ",SUHERMAN,1,-,-,0,-,SURITNA,1,-,-,0,-,1,3,1,JONO,PAMAN,S2,POLISI,4,087645677443
faiz,"2025-02-02 04:21:16","ABDULLAH FAIZ ",6287729007318,"SMK ALBAITI",2025,,,1,1,1,1,faiz-formulir-250329113027.jpg,," ","BISNIS DIGITAL",Reguler,,,4,1,1,," ",,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,
salwa,"2025-01-16 02:09:42","SALWA FATIMAH",6287729007318,"SMK ALBAITI",2024,,,1,1,1,1,salwa-formulir-250321172513.jpg,salwa-registrasi-250326050701.jpg," ","PENDIDIKAN BAHASA INGGRIS",Reguler,,25-8-1-1-0008,4,4,0,," ",3211131106870004,SUMEDANG,1987-06-11,L,PAMULIHAN,"KAB. SUMEDANG","JAWA BARAT",45365,KUTAMANDIRI,UTARA,2,6,1,1,CIREBON,9,21,0,1,1,GURU,LARI,MASAK,-," ",3,3,2,"MA ALBAITI SUMEDANG","JL LEBAKMAJA",TANJUNGSARI,RPL,2024,-,123456," ",SUHEN,0,SD,"PETANI SAYUR",4,-,JUJU,0,TS,"IBU RUMAH TANGGA",4,-,0,0,1,ALE,PAMAN,S2,POLISI,4,-
" "
"DATA FROM:","Gamified PMB System"
AT:,"April 03, 2025, 16:39:45"
